updateDate,symbol,code,code_name,industry,industryClassification
2026-06-22,SH600317,sh.600317,营口港,,证监会行业分类
2026-06-22,SH600318,sh.600318,新力金融,J66货币金融服务,证监会行业分类
2026-06-22,SH600319,sh.600319,亚星化学,C26化学原料和化学制品制造业,证监会行业分类
2026-06-22,SH600320,sh.600320,振华重工,C34通用设备制造业,证监会行业分类
2026-06-22,SH600321,sh.600321,正源股份,,证监会行业分类
2026-06-22,SH600322,sh.600322,津投城开,K70房地产业,证监会行业分类
2026-06-22,SH600323,sh.600323,瀚蓝环境,N77生态保护和环境治理业,证监会行业分类
2026-06-22,SH600325,sh.600325,华发股份,K70房地产业,证监会行业分类
2026-06-22,SH600326,sh.600326,西藏天路,C30非金属矿物制品业,证监会行业分类
2026-06-22,SH600327,sh.600327,大东方,Q84卫生,证监会行业分类
2026-06-22,SH600328,sh.600328,中盐化工,C26化学原料和化学制品制造业,证监会行业分类
2026-06-22,SH600329,sh.600329,达仁堂,C27医药制造业,证监会行业分类
2026-06-22,SH600330,sh.600330,天通股份,C39计算机、通信和其他电子设备制造业,证监会行业分类
2026-06-22,SH600331,sh.600331,宏达股份,C26化学原料和化学制品制造业,证监会行业分类
2026-06-22,SH600332,sh.600332,白云山,C27医药制造业,证监会行业分类
2026-06-22,SH600333,sh.600333,长春燃气,D45燃气生产和供应业,证监会行业分类
2026-06-22,SH600335,sh.600335,国机汽车,F51批发业,证监会行业分类
2026-06-22,SH600336,sh.600336,澳柯玛,C38电气机械和器材制造业,证监会行业分类
2026-06-22,SH600337,sh.600337,ST美克,F52零售业,证监会行业分类
2026-06-22,SH600338,sh.600338,西藏珠峰,B09有色金属矿采选业,证监会行业分类
2026-06-22,SH600339,sh.600339,中油工程,B11开采专业及辅助性活动,证监会行业分类
2026-06-22,SH600340,sh.600340,*ST华幸,K70房地产业,证监会行业分类
2026-06-22,SH600343,sh.600343,航天动力,C34通用设备制造业,证监会行业分类
2026-06-22,SH600345,sh.600345,长江通信,C39计算机、通信和其他电子设备制造业,证监会行业分类
2026-06-22,SH600346,sh.600346,恒力石化,C26化学原料和化学制品制造业,证监会行业分类
